Date	fest	data	Sat
04/05/2015	0.1946674	15/10/2016 	0.4137
05/05/2015	0.1947497	16/10/2016 	0.3339
06/05/2015	0.194728	21/10/2016 	0.2709
07/05/2015	0.1953711	22/10/2016 	0.2583
08/05/2015	0.1953109	27/10/2016 	0.42
09/05/2015	0.1952818	28/10/2016 	0.2457
10/05/2015	0.1956643	02/11/2016 	0.2079
11/05/2015	0.1957477	03/11/2016 	0.3339
12/05/2015	0.1954518	08/11/2016 	0.42
13/05/2015	0.1955204	09/11/2016 	0.4158
14/05/2015	0.1952978	14/11/2016 	0.42
15/05/2015	0.1950326	15/11/2016 	0.3717
16/05/2015	0.1955637	20/11/2016 	0.2499
17/05/2015	0.1969482	21/11/2016 	0.21
18/05/2015	0.1978652	26/11/2016 	0.2205
19/05/2015	0.1988889	27/11/2016 	0.2037
20/05/2015	0.1988993	02/12/2016 	0.168
21/05/2015	0.1990565	03/12/2016 	0.1533
22/05/2015	0.2029961	08/12/2016 	0.1785
23/05/2015	0.2042054	09/12/2016 	0.168
24/05/2015	0.2073396	14/12/2016 	0.1659
25/05/2015	0.2143076	15/12/2016 	0.3024
26/05/2015	0.2148866	20/12/2016 	0.2646
27/05/2015	0.216941	21/12/2016 	0.1659
28/05/2015	0.2166909	26/12/2016 	0.1428
29/05/2015	0.2160254	27/12/2016 	0.1176
30/05/2015	0.215249	01/01/2017 	0.1218
31/05/2015	0.2144149	02/01/2017 	0.1197
01/06/2015	0.2194328	07/01/2017 	0.126
02/06/2015	0.2241523	08/01/2017 	0.1176
03/06/2015	0.2293831	13/01/2017 	0.1491
04/06/2015	0.2356716	14/01/2017 	0.1785
05/06/2015	0.2431709	19/01/2017 	0.42
06/06/2015	0.2511318	20/01/2017 	0.4158
07/06/2015	0.2578097	25/01/2017 	0.3948
08/06/2015	0.2642667	26/01/2017 	0.3759
09/06/2015	0.2655632	31/01/2017 	0.2121
10/06/2015	0.2711516	01/02/2017 	0.1995
11/06/2015	0.2764911	06/02/2017 	0.3801
12/06/2015	0.2829633	07/02/2017 	0.3969
13/06/2015	0.2912189	12/02/2017 	0.2625
14/06/2015	0.3000272	13/02/2017 	0.2268
15/06/2015	0.3049436	18/02/2017 	0.3339
16/06/2015	0.3097503	19/02/2017 	0.1848
17/06/2015	0.3156043	24/02/2017 	0.1512
18/06/2015	0.3232158	25/02/2017 	0.3612
19/06/2015	0.3188203	02/03/2017 	0.1638
20/06/2015	0.3186492	03/03/2017 	0.1575
21/06/2015	0.3242245	08/03/2017 	0.2793
22/06/2015	0.317422	09/03/2017 	0.1239
23/06/2015	0.3124604	14/03/2017 	0.1176
24/06/2015	0.3102208	15/03/2017 	0.0798
25/06/2015	0.311657	20/03/2017 	0.0945
26/06/2015	0.3130004	21/03/2017 	0.042
27/06/2015	0.3154423	26/03/2017 	0.0462
28/06/2015	0.3179557	27/03/2017 	0.0126
29/06/2015	0.3193566	01/04/2017 	0.0399
30/06/2015	0.3220115	02/04/2017 	0
01/07/2015	0.3257286	07/04/2017 	0.0273
02/07/2015	0.329229	08/04/2017 	0
03/07/2015	0.3331239	13/04/2017 	0.0042
04/07/2015	0.3372818	14/04/2017 	0
05/07/2015	0.3395638	19/04/2017 	0.0882
06/07/2015	0.339114	20/04/2017 	0.1155
07/07/2015	0.34059	25/04/2017 	0.0315
08/07/2015	0.3422149	26/04/2017 	0
09/07/2015	0.3438734	01/05/2017 	0.021
10/07/2015	0.3465002	02/05/2017 	0
11/07/2015	0.348205	07/05/2017 	0.0462
12/07/2015	0.3459258	08/05/2017 	0.1449
13/07/2015	0.3437627	13/05/2017 	0.0504
14/07/2015	0.342809	14/05/2017 	0.0021
15/07/2015	0.3430824	19/05/2017 	0.0882
16/07/2015	0.3418786	20/05/2017 	0.1617
17/07/2015	0.341472	25/05/2017 	0.1638
18/07/2015	0.3420682	26/05/2017 	0.0609
19/07/2015	0.3398984	31/05/2017 	0.0798
20/07/2015	0.3425594	06/06/2017 	0.1155
21/07/2015	0.3440325	07/06/2017 	0.0672
22/07/2015	0.3447903	12/06/2017 	0.0819
23/07/2015	0.3451494	13/06/2017 	0.0525
24/07/2015	0.3444331	18/06/2017 	0.0693
25/07/2015	0.3433357	19/06/2017 	0.0525
26/07/2015	0.341235	24/06/2017 	0.0609
27/07/2015	0.3400803	25/06/2017 	0.0525
28/07/2015	0.3390609	30/06/2017 	0.0798
29/07/2015	0.340001	01/07/2017 	0.0651
30/07/2015	0.3393709	06/07/2017 	0.0567
31/07/2015	0.3370212	07/07/2017 	0.0441
01/08/2015	0.3350532	12/07/2017 	0.0546
02/08/2015	0.3369974	13/07/2017 	0.0462
03/08/2015	0.3372692	18/07/2017 	0.0462
04/08/2015	0.334638	19/07/2017 	0.0357
05/08/2015	0.33171	24/07/2017 	0.0567
06/08/2015	0.3169016	25/07/2017 	0.0819
07/08/2015	0.3053441	30/07/2017 	0.0588
08/08/2015	0.2997404	31/07/2017 	0.0441
09/08/2015	0.2942445	05/08/2017 	0.0546
10/08/2015	0.287648	06/08/2017 	0.042
11/08/2015	0.2885558	11/08/2017 	0.0483
12/08/2015	0.2865089	17/08/2017 	0.0336
13/08/2015	0.2819741	18/08/2017 	0.0336
14/08/2015	0.2743789	23/08/2017 	0.0042
15/08/2015	0.2695216	24/08/2017 	0.0084
16/08/2015	0.2694981	29/08/2017 	0.0294
17/08/2015	0.2680854	30/08/2017 	0.0189
18/08/2015	0.2611748	04/09/2017 	0.0063
19/08/2015	0.2578245	05/09/2017 	0.0042
20/08/2015	0.2562023	10/09/2017 	0.1218
21/08/2015	0.251193	11/09/2017 	0.2268
22/08/2015	0.2465072	16/09/2017 	0.0168
23/08/2015	0.2422593	22/09/2017 	0.1323
24/08/2015	0.2392678	23/09/2017 	0.0756
25/08/2015	0.2356743	28/09/2017 	0.2646
26/08/2015	0.23171	29/09/2017 	0.294
27/08/2015	0.2298518	04/10/2017 	0.1491
28/08/2015	0.2268329	05/10/2017 	0.1596
29/08/2015	0.2228251	10/10/2017 	0.1701
30/08/2015	0.2180107	11/10/2017 	0.1659
31/08/2015	0.2140979	16/10/2017 	0.1869
01/09/2015	0.2081404	17/10/2017 	0.168
02/09/2015	0.2022157	22/10/2017 	0.3948
03/09/2015	0.1968016	23/10/2017 	0.4179
04/09/2015	0.1931529	28/10/2017 	0.1848
05/09/2015	0.1910843	29/10/2017 	0.1953
06/09/2015	0.1895514	03/11/2017 	0.1974
07/09/2015	0.1883447	04/11/2017 	0.1617
08/09/2015	0.1872595	09/11/2017 	0.3444
09/09/2015	0.1866944	10/11/2017 	0.3801
10/09/2015	0.1870521	15/11/2017 	0.42
11/09/2015	0.186765	16/11/2017 	0.42
12/09/2015	0.1861458	21/11/2017 	0.2772
13/09/2015	0.1854963	22/11/2017 	0.2856
14/09/2015	0.1850466	27/11/2017 	0.1722
15/09/2015	0.1847479	28/11/2017 	0.1449
16/09/2015	0.1846865	03/12/2017 	0.3885
17/09/2015	0.1818849	04/12/2017 	0.4116
18/09/2015	0.1764348	09/12/2017 	0.42
19/09/2015	0.1715929	10/12/2017 	0.3591
20/09/2015	0.1713658	15/12/2017 	0.2079
21/09/2015	0.17551	16/12/2017 	0.4116
22/09/2015	0.1740582	21/12/2017 	0.2814
23/09/2015	0.1723092	22/12/2017 	0.2226
24/09/2015	0.1797703	27/12/2017 	0.2121
25/09/2015	0.1816204	28/12/2017 	0.2121
26/09/2015	0.1804723	02/01/2018 	0.42
27/09/2015	0.1791283	03/01/2018 	0.4179
28/09/2015	0.1777239	08/01/2018 	0.2394
29/09/2015	0.1767263	09/01/2018 	0.2793
30/09/2015	0.1754444	14/01/2018 	0.3024
01/10/2015	0.1743025	15/01/2018 	0.3696
02/10/2015	0.1739351	20/01/2018 	0.3969
03/10/2015	0.1737286	21/01/2018 	0.4095
04/10/2015	0.1719892	26/01/2018 	0.1743
05/10/2015	0.1703435	27/01/2018 	0.1953
06/10/2015	0.1706938	01/02/2018 	0.1449
07/10/2015	0.1692601	02/02/2018 	0.1596
08/10/2015	0.1685358	07/02/2018 	0.3696
09/10/2015	0.1684998	08/02/2018 	0.3591
10/10/2015	0.1783303	13/02/2018 	0.3696
11/10/2015	0.1838166	14/02/2018 	0.3423
12/10/2015	0.1837468	20/02/2018 	0.3591
13/10/2015	0.1826319	25/02/2018 	0.2982
14/10/2015	0.182021	26/02/2018 	0.3318
15/10/2015	0.2099688	03/03/2018 	0.3549
16/10/2015	0.2228375	04/03/2018 	0.3003
17/10/2015	0.2198365	09/03/2018 	0.1722
18/10/2015	0.2176351	10/03/2018 	0.1827
19/10/2015	0.2197696	15/03/2018 	0.0714
20/10/2015	0.2271679	16/03/2018 	0.0945
21/10/2015	0.2282409	21/03/2018 	0.2898
22/10/2015	0.2298863	22/03/2018 	0.231
23/10/2015	0.2293906	28/03/2018 	0.0903
24/10/2015	0.2269296	02/04/2018 	0.0147
25/10/2015	0.2247671	03/04/2018 	0.0042
26/10/2015	0.2233223	08/04/2018 	0.0063
27/10/2015	0.2223034	09/04/2018 	0.0042
28/10/2015	0.2216723	14/04/2018 	0.0399
29/10/2015	0.2243862	26/04/2018 	0.0126
30/10/2015	0.227882	27/04/2018 	0.0021
31/10/2015	0.2280912	02/05/2018 	0.0777
01/11/2015	0.2275211	03/05/2018 	0.1743
02/11/2015	0.2263988	08/05/2018 	0.1596
03/11/2015	0.2255438	01/06/2018 	0.1113
04/11/2015	0.2246637	02/06/2018 	0.0945
05/11/2015	0.2243721	07/06/2018 	0.105
06/11/2015	0.2237034	08/06/2018 	0.3528
07/11/2015	0.2227477	13/06/2018 	0.0966
08/11/2015	0.2213424	14/06/2018 	0.336
09/11/2015	0.2194275	19/06/2018 	0.1533
10/11/2015	0.2175453	20/06/2018 	0.3003
11/11/2015	0.2165223	25/06/2018 	0.1323
12/11/2015	0.2158816	26/06/2018 	0.1323
13/11/2015	0.2156147	01/07/2018 	0.0903
14/11/2015	0.2157449	02/07/2018 	0.0903
15/11/2015	0.2156542	07/07/2018 	0.1071
16/11/2015	0.2153798	08/07/2018 	0.0798
17/11/2015	0.2152719	13/07/2018 	0.105
18/11/2015	0.2150425	14/07/2018 	0.0882
19/11/2015	0.2148624	19/07/2018 	0.0987
20/11/2015	0.2146218	20/07/2018 	0.0546
21/11/2015	0.2130075	25/07/2018 	0.1365
22/11/2015	0.211133	26/07/2018 	0.1155
23/11/2015	0.2107421	31/07/2018 	0.105
24/11/2015	0.2118875	01/08/2018 	0.0777
25/11/2015	0.2137683	06/08/2018 	0.0756
26/11/2015	0.2183105	07/08/2018 	0.0609
27/11/2015	0.2241551	12/08/2018 	0.0903
28/11/2015	0.2260943	13/08/2018 	0.0672
29/11/2015	0.2257141	18/08/2018 	0.1722
30/11/2015	0.2251702	19/08/2018 	0.1512
01/12/2015	0.2240491	24/08/2018 	0.3675
02/12/2015	0.2234006	25/08/2018 	0.2499
03/12/2015	0.2229518	30/08/2018 	0.21
04/12/2015	0.2226526	31/08/2018 	0.1911
05/12/2015	0.2225451	11/09/2018 	0.2142
06/12/2015	0.2222454	12/09/2018 	0.1974
07/12/2015	0.2220395	17/09/2018 	0.21
08/12/2015	0.2215358	18/09/2018 	0.1995
09/12/2015	0.2213159	23/09/2018 	0.2016
10/12/2015	0.2210099	24/09/2018 	0.1869
11/12/2015	0.2203103	29/09/2018 	0.2163
12/12/2015	0.219527	30/09/2018 	0.1911
13/12/2015	0.218962	05/10/2018 	0.3402
14/12/2015	0.2186214	06/10/2018 	0.4179
15/12/2015	0.2181784	17/10/2018 	0.2058
16/12/2015	0.2176555	18/10/2018 	0.2058
17/12/2015	0.2174302	23/10/2018 	0.42
18/12/2015	0.2170161	24/10/2018 	0.3507
19/12/2015	0.2164519	29/10/2018 	0.2079
20/12/2015	0.2158419	30/10/2018 	0.2646
21/12/2015	0.2154862	04/11/2018 	0.273
22/12/2015	0.215067	05/11/2018 	0.2436
23/12/2015	0.2142109	10/11/2018 	0.1722
24/12/2015	0.2136669	11/11/2018 	0.1701
25/12/2015	0.213194	16/11/2018 	0.1554
26/12/2015	0.2126615	17/11/2018 	0.147
27/12/2015	0.2123312	22/11/2018 	0.3003
28/12/2015	0.2114266	23/11/2018 	0.3234
29/12/2015	0.2103985	28/11/2018 	0.3423
30/12/2015	0.2096438	29/11/2018 	0.2961
31/12/2015	0.2089175	04/12/2018 	0.2604
01/01/2016	0.2085315	05/12/2018 	0.2163
02/01/2016	0.2083668	10/12/2018 	0.42
03/01/2016	0.2105599	16/12/2018 	0.4053
04/01/2016	0.2107815	17/12/2018 	0.4137
05/01/2016	0.2095381	22/12/2018 	0.2877
06/01/2016	0.2089908	23/12/2018 	0.3255
07/01/2016	0.2091656	28/12/2018 	0.1953
08/01/2016	0.2089753	29/12/2018 	0.2352
09/01/2016	0.2087081	03/01/2019 	0.4011
10/01/2016	0.2079251	04/01/2019 	0.3486
11/01/2016	0.2066632	15/01/2019 	0.273
12/01/2016	0.2048672	16/01/2019 	0.3276
13/01/2016	0.2032326	21/01/2019 	0.1932
14/01/2016	0.2021362	27/01/2019 	0.2016
15/01/2016	0.2011144	28/01/2019 	0.2835
16/01/2016	0.201783	02/02/2019 	0.1806
17/01/2016	0.2021584	08/02/2019 	0.1533
18/01/2016	0.201874	09/02/2019 	0.1701
19/01/2016	0.2014304	14/02/2019 	0.084
20/01/2016	0.2009024	20/02/2019 	0.1029
21/01/2016	0.2007436	21/02/2019 	0.1113
22/01/2016	0.2006155	26/02/2019 	0.0672
23/01/2016	0.2003012	27/02/2019 	0.0651
24/01/2016	0.1999517	04/03/2019 	0.0714
25/01/2016	0.1995716	05/03/2019 	0.0609
26/01/2016	0.1986028	10/03/2019 	0.0483
27/01/2016	0.1978601	16/03/2019 	0.0861
28/01/2016	0.197357	17/03/2019 	0.0399
29/01/2016	0.1967413	22/03/2019 	0.021
30/01/2016	0.1961885	23/03/2019 	0.0105
31/01/2016	0.1953511	28/03/2019 	0.0462
01/02/2016	0.19467	03/04/2019 	0
02/02/2016	0.194004	04/04/2019 	0.0273
03/02/2016	0.1932471	09/04/2019 	0.0567
04/02/2016	0.1928066	10/04/2019 	0.0042
05/02/2016	0.1927652	15/04/2019 	0.0693
06/02/2016	0.192141	16/04/2019 	0.0084
07/02/2016	0.1914167	21/04/2019 	0.0042
08/02/2016	0.1909897	27/04/2019 	0.0252
09/02/2016	0.1904991	28/04/2019 	0.0063
10/02/2016	0.1914456	03/05/2019 	0.0525
11/02/2016	0.1938755	04/05/2019 	0.1323
12/02/2016	0.1952448	09/05/2019 	0.1449
13/02/2016	0.1960517	15/05/2019 	0.2688
14/02/2016	0.195453	16/05/2019 	0.1848
15/02/2016	0.1973038	21/05/2019 	0.2373
16/02/2016	0.196926	22/05/2019 	0.105
17/02/2016	0.1966558	27/05/2019 	0.1848
18/02/2016	0.1970376	02/06/2019 	0.1533
19/02/2016	0.1996769	03/06/2019 	0.0903
20/02/2016	0.1985721	08/06/2019 	0.1029
21/02/2016	0.1977683	09/06/2019 	0.0567
22/02/2016	0.196969	14/06/2019 	0.0651
23/02/2016	0.1963211	15/06/2019 	0.0588
24/02/2016	0.1954776	20/06/2019 	0.0399
25/02/2016	0.194889	21/06/2019 	0.0189
26/02/2016	0.1954106	26/06/2019 	0.0357
27/02/2016	0.1951992	27/06/2019 	0.0378
28/02/2016	0.194766	02/07/2019 	0.0273
29/02/2016	0.1946973	03/07/2019 	0.0168
01/03/2016	0.1961164	08/07/2019 	0.0231
02/03/2016	0.1964301	09/07/2019 	0.2814
03/03/2016	0.195889	14/07/2019 	0.084
04/03/2016	0.1954588	15/07/2019 	0.2583
05/03/2016	0.1951113	20/07/2019 	0.063
06/03/2016	0.1944483	26/07/2019 	0.0567
07/03/2016	0.1940871	27/07/2019 	0.0462
08/03/2016	0.1931284	01/08/2019 	0.063
09/03/2016	0.1936611	02/08/2019 	0.0609
10/03/2016	0.1990357	07/08/2019 	0.0504
11/03/2016	0.1994358	14/08/2019 	0.0525
12/03/2016	0.2024062	19/08/2019 	0.0399
13/03/2016	0.2093707	20/08/2019 	0.0294
14/03/2016	0.209695	25/08/2019 	0.0714
15/03/2016	0.2098969	26/08/2019 	0.0714
16/03/2016	0.2105445	31/08/2019 	0.0861
17/03/2016	0.2145262	01/09/2019 	0.126
18/03/2016	0.2259485	06/09/2019 	0.0693
19/03/2016	0.2292093	07/09/2019 	0.0672
20/03/2016	0.2267349	12/09/2019 	0.0525
21/03/2016	0.2245612	18/09/2019 	0.0882
22/03/2016	0.2236237	19/09/2019 	0.1491
23/03/2016	0.229283	24/09/2019 	0.0714
24/03/2016	0.2288577	25/09/2019 	0.084
25/03/2016	0.2273797	30/09/2019 	0.0693
26/03/2016	0.2250711	06/10/2019 	0.1008
27/03/2016	0.2235193	12/10/2019 	0.1176
28/03/2016	0.2213981	13/10/2019 	0.1575
29/03/2016	0.2192669	18/10/2019 	0.1512
30/03/2016	0.2168292	19/10/2019 	0.1596
31/03/2016	0.2140548	24/10/2019 	0.1722
01/04/2016	0.2135251	25/10/2019 	0.1827
02/04/2016	0.2138312	30/10/2019 	0.189
03/04/2016	0.2140269	31/10/2019 	0.1617
04/04/2016	0.2133608	05/11/2019 	0.1848
05/04/2016	0.2124102	06/11/2019 	0.3003
06/04/2016	0.2118621	11/11/2019 	0.2877
07/04/2016	0.2115765	12/11/2019 	0.42
08/04/2016	0.2124633	17/11/2019 	0.42
09/04/2016	0.2151606	18/11/2019 	0.3738
10/04/2016	0.2203899	23/11/2019 	0.1932
11/04/2016	0.2206678	24/11/2019 	0.42
12/04/2016	0.2184243	29/11/2019 	0.2625
13/04/2016	0.2174775	30/11/2019 	0.2436
14/04/2016	0.2153674	05/12/2019 	0.1806
15/04/2016	0.2138822	06/12/2019 	0.2016
16/04/2016	0.2120227	11/12/2019 	0.1953
17/04/2016	0.2113005	12/12/2019 	0.231
18/04/2016	0.211793	17/12/2019 	0.2373
19/04/2016	0.2126727	18/12/2019 	0.2625
20/04/2016	0.212966	23/12/2019 	0.1701
21/04/2016	0.2129594	24/12/2019 	0.1848
22/04/2016	0.2137742	29/12/2019 	0.1554
23/04/2016	0.2146998	30/12/2019 	0.147
24/04/2016	0.2181109	04/01/2020 	0.1365
25/04/2016	0.2190378	05/01/2020 	0.1155
26/04/2016	0.2200182	10/01/2020 	0.0798
27/04/2016	0.2186382	11/01/2020 	0.1911
28/04/2016	0.2186638	16/01/2020 	0.1407
29/04/2016	0.2204974	17/01/2020 	0.1428
30/04/2016	0.2209949	22/01/2020 	0.1113
01/05/2016	0.2245822	23/01/2020 	0.1428
02/05/2016	0.2305033	28/01/2020 	0.126
03/05/2016	0.2418682	03/02/2020 	0.0987
04/05/2016	0.2424613	04/02/2020 	0.3045
05/05/2016	0.2419433	09/02/2020 	0.0378
06/05/2016	0.2419077	10/02/2020 	0.0819
07/05/2016	0.2420356	15/02/2020 	0.0819
08/05/2016	0.2417422	16/02/2020 	0.0588
09/05/2016	0.2416107	21/02/2020 	0.1533
10/05/2016	0.2420136	22/02/2020 	0.1176
11/05/2016	0.2440418	27/02/2020 	0.2142
12/05/2016	0.2448834	28/02/2020 	0.1092
13/05/2016	0.2426264	04/03/2020 	0.0756
14/05/2016	0.2419004	10/03/2020 	0.1197
15/05/2016	0.2400027	11/03/2020 	0.0735
16/05/2016	0.2385572	16/03/2020 	0.0231
17/05/2016	0.2372204	17/03/2020 	0.0084
18/05/2016	0.238436	22/03/2020 	0.0126
19/05/2016	0.2355847	28/03/2020 	0.1029
20/05/2016	0.2332563	29/03/2020 	0.0756
21/05/2016	0.2371027	03/04/2020 	0
22/05/2016	0.2351708	04/04/2020 	0
23/05/2016	0.2316356	09/04/2020 	0.0063
24/05/2016	0.2282127	10/04/2020 	0
25/05/2016	0.2292159	15/04/2020 	0
26/05/2016	0.2262127	21/04/2020 	0.0945
27/05/2016	0.22319	22/04/2020 	0.1239
28/05/2016	0.22012	27/04/2020 	0.0189
29/05/2016	0.2170171	28/04/2020 	0.0021
30/05/2016	0.2138941	03/05/2020 	0.0819
31/05/2016	0.2105003	04/05/2020 	0
01/06/2016	0.2074404	09/05/2020 	0.0756
02/06/2016	0.2137246	10/05/2020 	0
03/06/2016	0.220078	15/05/2020 	0.1365
04/06/2016	0.2329402	16/05/2020 	0.0609
05/06/2016	0.2419748	21/05/2020 	0.1869
06/06/2016	0.2556958	22/05/2020 	0.0651
07/06/2016	0.2630201	27/05/2020 	0.0546
08/06/2016	0.2684532	28/05/2020 	0.0252
09/06/2016	0.2735568	02/06/2020 	0.063
10/06/2016	0.2817337	03/06/2020 	0.2919
11/06/2016	0.2923722	08/06/2020 	0.0483
12/06/2016	0.2974997	09/06/2020 	0.0714
13/06/2016	0.3050328	14/06/2020 	0.0126
14/06/2016	0.312901	15/06/2020 	0.0168
15/06/2016	0.313968	20/06/2020 	0.0063
16/06/2016	0.3135952		
17/06/2016	0.3138513		
18/06/2016	0.3041516		
19/06/2016	0.303994		
20/06/2016	0.3087856		
21/06/2016	0.3063171		
22/06/2016	0.3001652		
23/06/2016	0.2949984		
24/06/2016	0.2928264		
25/06/2016	0.2924106		
26/06/2016	0.2945208		
27/06/2016	0.2997131		
28/06/2016	0.3022957		
29/06/2016	0.3025815		
30/06/2016	0.305863		
01/07/2016	0.3122351		
02/07/2016	0.3180175		
03/07/2016	0.3242955		
04/07/2016	0.3297409		
05/07/2016	0.3319362		
06/07/2016	0.3340501		
